Date,Zone Enter Time,Zone Exit Time,Time (Mins),Time (Hrs),Distance (Home),Zone,Device
2025-08-17,2025-08-16 22:48:10,2025-08-17 11:27:50,760,12.67,0.08,home,device_tracker_alex_iphone_ic3
2025-08-17,2025-08-17 15:51:55,2025-08-17 17:57:55,126,2.10,0.07,home,device_tracker_alex_iphone_ic3
2025-08-18,2025-08-17 18:59:00,2025-08-18 11:47:00,1008,16.80,0.07,home,device_tracker_alex_iphone_ic3
2025-08-18,2025-08-18 14:18:25,2025-08-18 15:16:05,58,0.97,0.07,home,device_tracker_alex_iphone_ic3
2025-08-18,2025-08-18 16:21:05,2025-08-18 16:34:55,14,0.23,0.08,home,device_tracker_alex_iphone_ic3
2025-08-18,2025-08-18 16:35:15,2025-08-18 16:47:50,13,0.22,0.15,home,device_tracker_alex_iphone_ic3
2025-08-18,2025-08-18 16:49:00,2025-08-18 18:12:05,83,1.38,0.07,home,device_tracker_alex_iphone_ic3
2025-08-19,2025-08-18 18:35:55,2025-08-19 09:53:45,918,15.30,0.09,home,device_tracker_alex_iphone_ic3
2025-08-19,2025-08-19 12:59:50,2025-08-19 13:41:40,42,0.70,0.07,home,device_tracker_alex_iphone_ic3
2025-08-19,2025-08-19 15:42:45,2025-08-19 15:49:35,7,0.12,0.07,home,device_tracker_alex_iphone_ic3
2025-08-19,2025-08-19 16:33:20,2025-08-19 18:37:30,124,2.07,0.08,home,device_tracker_alex_iphone_ic3
2025-08-20,2025-08-19 20:21:20,2025-08-20 09:49:55,809,13.48,0.08,home,device_tracker_alex_iphone_ic3
2025-08-20,2025-08-20 12:01:35,2025-08-20 13:49:30,108,1.80,0.07,home,device_tracker_alex_iphone_ic3
2025-08-20,2025-08-20 16:24:50,2025-08-20 18:51:15,146,2.43,0.08,home,device_tracker_alex_iphone_ic3
2025-08-20,2025-08-20 19:21:55,2025-08-20 19:27:55,6,0.10,0.08,home,device_tracker_alex_iphone_ic3
2025-08-21,2025-08-21 10:22:55,2025-08-21 10:44:50,22,0.37,0.08,home,device_tracker_alex_iphone_ic3
2025-08-21,2025-08-21 13:32:25,2025-08-21 14:32:25,60,1.00,0.08,home,device_tracker_alex_iphone_ic3
2025-08-22,2025-08-22 11:03:40,2025-08-22 11:09:25,6,0.10,0.08,home,device_tracker_alex_iphone_ic3
2025-08-22,2025-08-22 12:57:30,2025-08-22 13:45:15,48,0.80,0.08,home,device_tracker_alex_iphone_ic3
2025-08-22,2025-08-22 15:02:35,2025-08-22 16:07:45,65,1.08,0.07,home,device_tracker_alex_iphone_ic3
